year,title,venue,keyword,notes
2013,Defining requirements on domain-specific languages in model-driven software engineering of safety-critical systems,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",DSLs / safety-critical systems,Defines formal requirements for DSLs used to generate software for safety-critical systems [:reference:]abstract@106@24@2-s2.0-84922706530@@false[:/reference:]
2013,AERB SG D-25 and IEC 60880 for certification of software in safety systems of Indian NPP,Lecture Notes in Electrical Engineering,certification standards,Focuses on regulatory requirements for certifying nuclear safety software [:reference:]abstract@107@25@2-s2.0-84881167386@@false[:/reference:]
2014,Software safety standards: Evolution and lessons learned,Proceedings - 1st International Conference on Trustworthy Systems and Their Applications,safety standards evolution,Surveys major software safety standards and common features valued by industry [:reference:]abstract@108@26@2-s2.0-84915814834@@false[:/reference:]
2014,Evaluating software safety standards: A systematic review and comparison,Proceedings - 8th International Conference on Software Security and Reliability - Companion,standards comparison,Compares major safety standards and finds no single standard dominates all criteria [:reference:]abstract@109@27@2-s2.0-84908658947@@false[:/reference:]
2016,"Standards-based metamodel for the management of goals, risks and evidences in critical systems development",article,standards-based metamodel,"Manages goals, risks, and evidence in critical systems development [:reference:]full_text@110@28@S0920548916300319@S0920548916300319-chunk-4@false[:/reference:]"
2016,On the Exploration of Model-Based Support for DO-178C-Compliant Avionics Software Development and Certification,Proceedings - 2016 IEEE 27th International Symposium on Software Reliability Engineering Workshops,DO-178C compliance,Reviews model-based approaches for DO-178C development and certification [:reference:]abstract@111@29@2-s2.0-85009771923@@false[:/reference:]
2017,Java in the safety-critical domain,Lecture Notes in Computer Science,Safety-Critical Java,Describes SCJ as a standard for criticality-aware programming and certification [:reference:]abstract@112@30@2-s2.0-85018423488@@false[:/reference:]
2017,A goal-driven approach for the joint deployment of safety and security standards for operators of essential services,Journal of Software: Evolution and Process,joint safety/security standards,"Uses model-based, goal-oriented analysis to connect standards to concrete measures [:reference:]abstract@113@31@2-s2.0-85103825528@@false[:/reference:]"
2018,Review of formal agile methods as cost-effective airworthiness certification processes,Journal of Aerospace Information Systems,airworthiness certification,Reviews how agile/formal/model-based methods can still satisfy DO-178C objectives [:reference:]abstract@114@32@2-s2.0-85051215587@@false[:/reference:]
2019,Using language workbenches and domain-specific languages for safety-critical software development,Software and Systems Modeling,DSLs / language workbenches,Explains how DSLs and verified transformations can be used in safety-critical environments [:reference:]abstract@115@33@2-s2.0-85047136646@@false[:/reference:]
2020,Patterns for Certification Standards,Lecture Notes in Computer Science,certification patterns,Proposes a generic method for building assurance cases for complex standards [:reference:]abstract@116@34@2-s2.0-85086271720@@false[:/reference:]
2021,A goal-driven approach for the joint deployment of safety and security standards for operators of essential services,Journal of Software: Evolution and Process,standards deployment,Supports coordinated deployment of safety and security standards [:reference:]abstract@113@35@2-s2.0-85103825528@@false[:/reference:]
2021,AUTOCHECK: A Tool for Checking Compliance with Automotive Coding Standards,2021 Zooming Innovation in Consumer Technologies Conference,coding standards tool,Automates compliance checking for Autosar C++14 rules [:reference:]abstract@117@36@2-s2.0-85114965031@@false[:/reference:]
2022,Model-based assurance evidence management for safety-critical systems,Software and Systems Modeling,evidence management,Validated approach for managing assurance evidence in industry [:reference:]abstract@118@37@2-s2.0-85122693298@@false[:/reference:]
2023,ProCon: An automated process-centric quality constraints checking framework,article,quality constraints / certification,Targets documentation and traceability needed in certification processes [:reference:]full_text@119@38@S016412122300122X@S016412122300122X-chunk-10@false[:/reference:]
2024,Development of a Critical System Using a Domain Specific Language,"2024 IEEE Space, Aerospace and Defence Conference",DSL for critical systems,Shows a DSL used in a nuclear safety-related computer system under strict regulatory requirements [:reference:]abstract@120@39@2-s2.0-85205272471@@false[:/reference:]
2024,"Defining Model-Driven Safety-Critical Software Engineering, with International Standard",Proceedings - 2024 7th International Conference on Information and Computer Technologies,model-driven engineering / standards,Uses DO-178C as a basis for model-driven safety-critical engineering [:reference:]abstract@121@40@2-s2.0-85196123410@@false[:/reference:]
2024,Systematic review on contract-based safety assurance and guidance for future research,article,contract-based assurance,Summarizes contract-based safety assurance and safety-case construction [:reference:]full_text@122@41@S1383762123002151@S1383762123002151-chunk-1@false[:/reference:]
2025,Why the use of domain-specific modeling in airworthy software requires new methods and how these might look like?,Innovations in Systems and Software Engineering,domain-specific modeling,Explains why airworthy DSM needs qualified tools and new certification-friendly methods [:reference:]abstract@123@42@2-s2.0-85198042289@@false[:/reference:]
2026,A Certifiable Approach to Multicore Using Ada,OpenAccess Series in Informatics,certifiable language profile,Uses Ada restricted tasking profiles to provide a certifiable multicore execution model [:reference:]abstract@124@43@2-s2.0-105042759124@@false[:/reference:]
2026,Assessing Python’s suitability for airborne safety-critical systems under DO-178C guidelines,article,Python / certification,Directly addresses Python against DO-178C in airborne safety-critical systems [:reference:]full_text@125@44@S2590118425000693@S2590118425000693-chunk-26@false[:/reference:]
